S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
1165,CHANDAULI,SRI R N S J H I C SALEMPUR CHANDAULI,Basic Education,primary school chakra
1166,CHANDAULI,A V INTER COLLEGE DHNAPUR CHANDAULI,Basic Education,senior primary school pauni
1167,CHANDAULI,RASHTRIYA INTER COLLEGE KAMALPUR CHANDAULI,Basic Education,primary school nadi ii
1168,CHANDAULI,A S V M INTER COLLEGE SHAHIDGAON CHANDAULI,Basic Education,composite school kodai
1169,CHANDAULI,AMAR SHAHID B I C SHAHIDGAON CHANDAULI,Basic Education,composite school prasahta
1170,CHANDAULI,I C DHARAON CHANDAULI,Basic Education,primary school amadpur first
1171,CHANDAULI,JANATA JANARDAN INTER COLLEGE DABARIYA CHNADAULI,Basic Education,primary school papraul
1172,CHANDAULI,KHANDWARI DEVI INTER COLLEGE CHAHANIYA CHANDAULI,Basic Education,"composite school bahora chandel
"
1173,CHANDAULI,BABA KINARAM INTER COLLEGE RAMGARH CHANDAULI,secondary education,Vithawalkala Chakia
1174,CHANDAULI,BALMIKI INTER COLLEGE BALUA CHANDAULI,secondary education,kurhana chandauli
1175,CHANDAULI,SHRI SARASWATI I C T CHANDAULI,secondary education,Sahabganj Chandauli
1176,CHANDAULI,A N GOVT INTER COLLEGE CHAKIA CHANDAULI,secondary education,Devrikala Naugarh
1177,CHANDAULI,M J K K INTER COLLEGE CHAKIA,secondary education,Lawarikala Naugarh
1178,CHANDAULI,PRIMARY SCHOOL CHANDAULI,secondary education,Golabad Naugarh
1179,CHANDAULI,PRIMARY SCHOOL CHHEETO,secondary education,Jamsot Naugarh
1180,CHANDAULI,PRIMARY SCHOOL DAURI KOT,secondary education,Uditpur Surra Naugarh
1181,CHANDAULI,PRIMARY SCHOOL FATTE PRATAPPUR,secondary education,Sonwar Naugarh
1182,CHANDAULI,PRIMARY SCHOOL BICHIYA KALA,secondary education,Chaturipur Chakia
1183,CHANDAULI,PRATHAMIK SCHOOL BICHIYA,secondary education,Balua Chahania
1184,CHANDAULI,PRIMARY SCHOOL JASURI 2,secondary education,Tanda Chahania
1185,CHANDAULI,PRIMARY SCHOOL LEELAPUR,secondary education,Bhujana Barhani
1186,CHANDAULI,PRIMARY SCHOOL SAVAIYA PATTIDARI,secondary education,Dhanapu
1187,CHANDAULI,PRIMARY SCHOOL WAZIDPUR,secondary education,Mughal Sarai Modinagar
1189,CHITRAKOOT,GOVT GIRLS INTER COLLEGE RAJAPUR CHITRAKOOT,Basic Education,Gadarian Purva Manikpur
1190,CHITRAKOOT,GOVT GIRLS INTER COLLEGE KARVI CHITRAKOOT,Basic Education,Amarpur Manikpur
1191,CHITRAKOOT,CHITRAKOOT INTER COLLEGE KARVI CHITRAKOOT,Basic Education,New Purva Manikpur
1192,CHITRAKOOT,SHRI GANGA PRASAD JANSEVA INTER COLLEGE KARVI CHITRAKOOT,Basic Education,Baghuda Manikpur
1193,CHITRAKOOT,SETH RADHAKRISHNA PODDAR INTER COLLEGE CHITRAKOOT DHAM,Basic Education,Manikpur Manikpur
1194,CHITRAKOOT,ADARSH INTER COLLEGE MANIKPUR CHITRAKOOT,Basic Education,Bhanbhiya Manikpur
1195,CHITRAKOOT,TYAGI INTER COLLEGE AINCHWARA CHITRAKOOT,Basic Education,Basila Manikpur
1196,CHITRAKOOT,KRASHAK INTER COLLEGE BHAURI CHITRAKOOT,Basic Education,Big Mandiyan Manikpur
1197,CHITRAKOOT,SHRI MAHARSHI BALMIKI INTER COLLEGE KHANDEHA CHITRAKOOT,Basic Education,Village Karahi Post Baria Chitrakoot
1198,CHITRAKOOT,PT PURSHOTAM DIWEDI INTER COLLEGE MAU CHITRAKOOT,Basic Education,Village Post Murka Chitrakoot
1199,CHITRAKOOT,SUBHASH INTER COLLEGE ETWA CHITRAKOOT,Basic Education,Village Post Khandeha Chitrakoot
1200,CHITRAKOOT,SHRI GOSWAMI INTER COLLEGE CHHIBO CHITRAKOOT,Basic Education,Village Titauli Post Mau Chitrakoot
1201,CHITRAKOOT,SHRI TULSI INTER COLLEGE RAJAPUR CHITRAKOOT,Basic Education,Village Kopa Post Mau Chitrakoot
1202,CHITRAKOOT,LATE NATHURAM SANKAT MOCHAN INTER COLLEGE BACHHARAN CHITRAKOOT,Basic Education,Village Konia Post Bargarh Chitrakoot
1203,CHITRAKOOT,LATE LALABHAI PATEL INTER COLLEGE KAPANA ITAURA CHITRAKOOT,Basic Education,Village Chiwalaha Chowki Mau Chitrakoot
1204,CHITRAKOOT,GOVT GIRLS INTER COLLEGE MANIKPUR CHITRAKOOT,Basic Education,Mawai Art Chowki Mau Chitrakoot
1205,CHITRAKOOT,SHRI HANUMANT INTER COLLEGE NANDITAURA CHITRAKOOT,Basic Education,Village Kolamajara Post Bargarh Chitrakoot
1206,CHITRAKOOT,SHRI PALESHAR NATH INTER COLLEGE PAHADI CHITRAKOOT,Basic Education,Bandhi Ramnagar
1207,CHITRAKOOT,"GOVT INTER COLLEGE, GHURETANPUR CHITRAKOOT",Basic Education,Deundha Ramnagar
1208,CHITRAKOOT,RATAN NATH INTER COLLEGE RASIN CHITRAKOOT,Basic Education,Chakundh Hill
1209,CHITRAKOOT,"RAJKIYA HIGHSCHOOL GAUHANIKALA, CHITRAKOOT ",Basic Education,Chajaffer Hill
1210,CHITRAKOOT,RAJKIYA HIGHSCHOOL MANDAUR CHITRAKOOT ,Basic Education,Kashi Karvi Chitrakoot
1211,CHITRAKOOT,RAJKIYA HIGHSCHOOL ASOHA CHITRAKOOT ,Basic Education,Kanthipur Karvi Chitrakoot
1212,CHITRAKOOT,RAJKIYA HIGHSCHOOL SHIVRAMPUR CHITRAKOOT ,Basic Education,Sonpur Karvi Chitrakoot
1213,CHITRAKOOT,RAJKIYA HIGHSCHOOL DADRIMAFI CHITRAKOOT ,Basic Education,Shivrampur Karvi Chitrakoot
1214,CHITRAKOOT,RAJKIYA HIGHSCHOOL SIRAWAL CHITRAKOOT ,Basic Education,Badi Patin Manikpur
1215,CHITRAKOOT,RAJKIYA HIGHSCHOOL MAMSI BUJURG CHITRAKOOT ,Basic Education,Dadarimafi Manikpur
1216,CHITRAKOOT,RAJKIYA HIGHSCHOOL RAULI KALYanpur CHITRAKOOT ,Basic Education,PMV Lodhwara Chitrakoot
1217,CHITRAKOOT,"RAJKIYA HIGHSCHOOL BHARATKOOP, CHITRAKOOT ",Basic Education,Baramafi Chitrakoot
1218,CHITRAKOOT,RAJKIYA HIGHSCHOOL SEMARIYA charandasi CHITRAKOOT ,Basic Education,Laxmipur Hill
1219,CHITRAKOOT,"RAJKIYA HIGHSCHOOL BIYAVAL, CHITRAKOOT ",Basic Education,Atrauli Hill
1220,CHITRAKOOT,"RAJKIYA HIGHSCHOOL BADI MADAIYAN, CHITRAKOOT ",Basic Education,Chandai Mau
1221,CHITRAKOOT,"RAJKIYA HIGHSCHOOL NONAR, CHITRAKOOT ",Basic Education,Murka Mau
1222,CHITRAKOOT,"RAJKIYA HIGHSCHOOL CHANDI, CHITRAKOOT ",Basic Education,girl chibo ramnagar
1223,CHITRAKOOT,"RAJKIYA HIGHSCHOOL MIRZAPUR, CHITRAKOOT ",Basic Education,Ramnagar
1224,CHITRAKOOT,"RAJKIYA HIGHSCHOOL SURSEN, CHITRAKOOT ",secondary education,Karvi Chitrakoot
1225,CHITRAKOOT,RAJKIYA INTER COLLEGE BARGADH CHITRAKOOT,secondary education,Karvi Chitrakoot
1226,CHITRAKOOT,"RAJKIYA kanya uttar madhyamik vidyalay,ganiva, CHITRAKOOT ",secondary education,Sitapur Chitrakoot
1227,CHITRAKOOT,"Pandit Deen Dayal Upahyay RAJKIYA INTER COLLEGE,UNCHADEEH",secondary education,Shivrampur Chitrakoot
1228,CHITRAKOOT,RAJKIYA HIGH SCHOOL MURKA,secondary education,Rowley Chitrakoot
1229,CHITRAKOOT,COMPOJIT VIDYALAY KASHAI,secondary education,Karvi Chitrakoot
1230,CHITRAKOOT,PRATHMIK VIDYALAY RAGAULI,secondary education,Karvi Chitrakoot
1231,CHITRAKOOT,COMPOJIT VIDYALAY ITRAUR BHIKAMPUR,secondary education,Village Nonar Chitrakoot
1232,CHITRAKOOT,PRATHMIK VIDYALAY CHKAUNDH,secondary education,Bhauri Chitrakoot
1233,CHITRAKOOT,P S CHAKJAFAR,secondary education,Anchwara Chitrakoot
1234,CHITRAKOOT,P S ASOHA,secondary education,Manikpur Chitrakoot
1235,CHITRAKOOT,COMPOJIT VIDYALAY KOTHILIHAI,secondary education,Itwa Chitrakoot
1236,CHITRAKOOT, P S MANDAUHA,secondary education,Rasin Chitrakoot
1237,CHITRAKOOT,P S BHAURI,secondary education,Chibbo Chitrakoot
1238,CHITRAKOOT,P S ENCHWARA,secondary education,Hill Chitrakoot
1240,DEORIA,Krishak Vidya Mandir U M V Gadera Deoria,Basic Education,Dhanpurwan Mahdaha Salmepur
1241,DEORIA,Shri Gandhi Inter College Marhawa Deoria,Basic Education,Nawalpur Salmepur
1242,DEORIA,Gyan Prakash Inter college Bhaluani Deoria,Basic Education,Salempur Municipal Area
1243,DEORIA,Shanti Niketan Inter College tekua Deoria,Basic Education,Chakarwa Bahordas Salempur
1244,DEORIA,Abhaynand Shikshan Sansthan Inter College Shivdharaiya Deoria,Basic Education,Nautan Rampur Factory
1245,DEORIA,Bapu krishak Inter College Kadserver Bujurg Deoria,Basic Education,Bhagalpur
1246,DEORIA,Bapu Inter College Sohanpur Deoria,Basic Education,Ticker Bhagalpur
1247,DEORIA,Shri Krishna Inter College Hata,Basic Education,Pipra Khemkaran Bhaluani
1248,DEORIA,Trigudanand Janata Inter College bankata Deoria,Basic Education,mahui srikant bhaluani
1249,DEORIA,Lakhan ji Inter College ahirauli Baghel Deoria,Basic Education,Bhaidwa Bhaluani
1250,DEORIA,Sangram Singh Inter College ahirauli Baghel Deoria,Basic Education,Village Bankata Jagdish Post Basopatti
1251,DEORIA,Sarvoday Inter College Gadha Deoria,Basic Education,Dubauli Barhaj Deoria
1252,DEORIA,Babban Singh Inter College Ratsiya Kothi Deoria,Basic Education,Parsia Dewar Barhaj Deoria
1253,DEORIA,Sarvoday Inter College Bakhri Bajar Deoria,Basic Education,Beldar Barhaj Deoria
1254,DEORIA,B R D  Balika U M V Bhatpar Rani Deoria,Basic Education,Chiraigoda Baitalpur Deoria
1255,DEORIA,Ram Manohar Lohiya Inter College Pakdi Babu Deoria,Basic Education,Semrauna Rudrapur
1256,DEORIA,Madan Mohan Malviya Inter College Bhatpar Rani Deoria,Basic Education,SattuThanks Rudrapur
1257,DEORIA,B R D krishak Inter College bhatpar Rani Deoria,Basic Education,Khopa Rudrapur
1258,DEORIA,Shri Ram Janki Inter College Babu Bandi Math Deoria,Basic Education,Belwa Dubauli Rudrapur
1259,DEORIA,Intermediate College Khampare Deoria,Basic Education,Hatwa Bazar Bhatni
1260,DEORIA,Mohammed Hussain Inter College Nawalpur Deoria,Basic Education,Sirjam Square Baitalpur
1261,DEORIA,Shankar Inter college windvaliya Deoria,Basic Education,Masjid Ward Rudrapur
1262,DEORIA,Purandar Shiksha Sansthan Inter College Dumoliya Deoria,Basic Education,Village Kalyani Bhatparrani
1263,DEORIA,Adarsh Ramchandra Inter College Chordhih Deoria,Basic Education,Rampur Factory
1264,DEORIA,Janata Inter College Purani Persia Deoria,Basic Education,Phulehra Deshai Deoria
1265,DEORIA,Bapu Inter College Salempur Deoria,Basic Education,Khadesar Barhaj
1266,DEORIA,B N Inter College Majauli Raj Deoria,Basic Education,Tilauli Bhagalpur
1267,DEORIA,Janata U M V Mahuwari Pathardev Deoria,Basic Education,His Nonapaar Bhatni
1268,DEORIA,Mahant Trivedi Parvat Inter College bishanpur Bajar Deoria,Basic Education,Khudia Mishra Fulwaria Pandey Bhaluani
1269,DEORIA,Janta Inter college Rampur Awasthi Deoria,Basic Education,Khoraram Deoria Sadar
1270,DEORIA,A N D  Inter College pathardeva Deoria,Basic Education,Bagapar Katrawa Gauri Bazar
1271,DEORIA,Janta U M V Sonu Ghat Deoria,Basic Education,Harkhauli Raksa Lar
1272,DEORIA,A D Inter College gambhirpur Mali Bari Deoria,Basic Education,Bhadsar Chhitauni Bankata
1273,DEORIA,Maharaja Agrasen Inter College Deoria,Basic Education,Banjaria Pathardeva
1274,DEORIA,Maharaja Agrasen Balika Inter College Deoria,Basic Education,Banrahi Bharouli Salempur
1275,DEORIA,S S B L Inter College Deoria,secondary education,Jalkal Road Deoria
1276,DEORIA,B R D Inter College Deoria,secondary education,Barari Baitalpur Deoria
1277,DEORIA,Baldev Swami U M V Barauni Deoria,secondary education,Dumri Rampur Factory Deoria
1278,DEORIA,Rajkiya Inter College Deoria,secondary education,Gauri Bazar Deoria
1279,DEORIA,Kasturba Rajkiya Balika Inter College Deoria,secondary education,Pathardewa Deoria
1280,DEORIA,PRIMARY SCHOOL CHAK SARAY BADAL DAS,secondary education,Bishunpura Market Deoria
1281,DEORIA,COMPOSITE SCHOOL SARAIYA,secondary education,Bhatni Deoria
1282,DEORIA,PRIMARY SCHOOL BASDILA,secondary education,Bhatparrani Deoria
1283,DEORIA,PRIMARY SCHOOL SONUGHAT,secondary education,Bhatparrani Deoria
1284,DEORIA,PRIMARY SCHOOL PURAINA,secondary education,Bhatparrani Deoria
1285,DEORIA,PRIMARY SCHOOL CHAND PUR,secondary education,Ratasia Kothi Deoria
1286,DEORIA,COMPOSITE SCHOOL MALAVAVAR,secondary education,Barhaj Deoria
1287,DEORIA,COMPOSITE SCHOOL BAGHDA MAHUWARI,secondary education,Queen Deoria
1288,DEORIA,PRIMARY SCHOOL TADAWAN,secondary education,Barhaj Deoria
1289,DEORIA,COMPOSITE SCHOOL BAGARA BAZAR,secondary education,Barhaj Deoria
1291,ETAH,RAJKIYA INTER COLLEGE ETAH,Basic Education,Aliganj
1292,ETAH,RAJKIYA BALIKA INTER COLLEGE ETAH,Basic Education,Aliganj
1293,ETAH,RAJKIYA BALIKA INTER COLLEGE LALGARHI,Basic Education,Aliganj
1294,ETAH,RAJKIYA BALIKA INTER COLLEGE JALSER,Basic Education,Aliganj
1295,ETAH,RAJKIYA KANYA INTER COLLEGE BAKALPUR,Basic Education,Aliganj
1296,ETAH,RAJKIYA BALIKA INTER COLEGE RAMNAGAR,Basic Education,Aliganj
1297,ETAH,CHAMPA DEVI BALIKA INTER COLLEGE RAJA KA RAMPUR ETAH,Basic Education,Aliganj
1298,ETAH,PT. DEEN DAYAL UPADAHYAY RAJKIYA MODEL INTER COLLEGE MUIDDINPUR,Basic Education,Jaithra
1299,ETAH,PT. DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE GEHRANA,Basic Education,Jaithra
1300,ETAH,PT. DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE MALAWAN,Basic Education,Jaithra
1301,ETAH,PT. DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE. SCHOOL ISAULI,Basic Education,Jaithra
1302,ETAH,"PT. DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE, SCHOOL JIRSAMMI",Basic Education,Jaithra
1303,ETAH,SHREE VASHRENYA INTER COLLEGE ETAH,Basic Education,Jaithra
1304,ETAH,PRINTIS KANYA INTER COLLEGE ETAH,Basic Education,Jaithra
1305,ETAH,A S ARYA INTER COLLEGE ETAH,Basic Education,Socket
1306,ETAH,SHREE GANDHI SMARAK INTER COLLEGE ETAH,Basic Education,Socket
1307,ETAH,CHRISTIAN AGREE INTER COLLEGE ETAH ,Basic Education,Socket
1308,ETAH,R L C SARVODYA INTER COLLEGE ETAH,Basic Education,Socket
1309,ETAH,JANTA INTER COLLEGE PARSON ETAH,Basic Education,Socket
1310,ETAH,MAHARANI LAXMIBAI KANYA INTER COLLEGE  ETAH,Basic Education,Socket
1311,ETAH,LALBAHADUR SHASTRI INTER COLLEGE KANGRAUL,Basic Education,Aliganj
1312,ETAH,ADARSH INTER COLLEGE UMMEDPUR,Basic Education,Aliganj
1313,ETAH,D A V INTER COLLEGE SAKIT,Basic Education,Aliganj
1314,ETAH,"DR. Z H INTER COLLEGE, NIDHAULI KALAN",Basic Education,Aliganj
1315,ETAH,RASHTRIYA INTER COLLEGE NIDHAULI KALAN,Basic Education,Aliganj
1316,ETAH,D S S UCCH MADHYAMIK SONGARA,Basic Education,Jaithra
1317,ETAH,RASHTRIYA INTER COLLEGE JINHORA,Basic Education,Jaithra
1318,ETAH,M G H M INTER COLLEGE MAARHARA,Basic Education,Jaithra
1319,ETAH,R A V INTER COLLEGE  MAARHARA,Basic Education,Jaithra
1320,ETAH,S V S INTER COLLEGE SAKRAULI,Basic Education,Jaithra
1321,ETAH,M G M INTER COLLEGE JALSER,Basic Education,Socket
1322,ETAH,ADARSH INTER COLLEGE JALSER,Basic Education,Socket
1323,ETAH,JAN KALYAN INTER COLLEGE SIKRARI LALPUR,Basic Education,Socket
1324,ETAH,JANTA INTER COLLEGE AWAGARH,Basic Education,Socket
1325,ETAH,GAUTAM BUDDH INTER COLLEGE ALIGANJ,Basic Education,Socket
1326,ETAH,D A V INTER COLLEGE ALIGANJ,secondary education,Sakit Road Etah
1327,ETAH,JANTA INTER COLLEGE KELTHA,secondary education,Nidhauli Road Etah
1328,ETAH,JANTA INTER COLLEGE DHUMARI,secondary education,marhara etah
1329,ETAH,SHREE NEHRU SMARAK INTER COLLEGE JETHRA,secondary education,kailtha aliganj etah
1330,ETAH,SHREE GANDHI SARWAN INTER COLLEGE JETHRA,secondary education,Kampil Road Aliganj Etah
1331,ETAH,PRATHAMIK VIDYALAY SARVODYA ASHRAM-SHEETALPUR,secondary education,Ganjdundwara Road Vahanpur Etah
1332,ETAH,COMPOSITE PRATHAMIK VIDYALAY PAWAANS-SHEETALPUR,secondary education,Kasganj Road Jinhara Etah
1333,ETAH,COMPOSITE PRATHAMIK VIDYALAY BAHADURGARH-SHEETALPUR,secondary education,Kasganj GT Road Etah
1334,ETAH,PRATHAMIK VIDYALAY CHILAASANI PRATAHM-SAKEET,secondary education,Agra Road Etah
1335,ETAH,PRATHAMIK VIDYALAY HARCHANDPUR KALAN-SAKEET,secondary education,Agra Road Basundhara Etah
1336,ETAH,PRATHAMIK VIDYALAY AASPUR-SAKEET,secondary education,Kangraul Sakit Etah
1337,ETAH,PARATHAMIK VIDYALAY SAKATPUR-SAKEET,secondary education,Ummedpur Sakit Etah
1338,ETAH,PRATHAMIK VIDYALAY PALIYA-NIDHOLI KALAN,secondary education,Sakrauli Jalesar Etah
1339,ETAH,PRATHAMIK VIDYALAY MIRHACHI-MAREHARA,secondary education,"Agra Road, Sikarari, Lalpur, Etah"
1340,ETAH,COMPOSITE PRATHAMIK VIDYALAY DATEI-MAREHARA,secondary education,main market jaithra etah
1342,ETAWAH,"RAJKIYA INTER COLLEGE, ETAWAH",Basic Education,UP PRAKASHIPURA
1343,ETAWAH,"RAJKIYA BALIKA INTER COLLEGE, ETAWAH",Basic Education,UP COMP DATAVALI
1344,ETAWAH,"SANATAN DHARM INTER COLLEGE, ETAWAH",Basic Education,U.P.S. Comp. Chitbhavan
1345,ETAWAH,"CHITRAGUPT INTER COLLEGE, ETAWAH",Basic Education,UP Primary School Comp Kripalpur
1346,ETAWAH,"H M S ISLAMIYA INTER COLLEGE COLLEGE, ETAWAH",Basic Education,UP COMP Bina
1347,ETAWAH,"KARMCHETRA INTER COLLEGE, ETAWAH",Basic Education,Uttar Pradesh University Baralokpur
1348,ETAWAH,"JANTA INTER COLLEGE, FARRUKHABAD ROAD, ETAWAH",Basic Education,UP PRIMARY VIDYA SHEKHUPUR SARAIYA
1349,ETAWAH,"TIWARI JWALA PRASHAD ARYA KANYA INTER COLLEGE, ETAWAH",Basic Education,UP PRAKSHAV COMP Pachavali
1350,ETAWAH,"SHITAL PRASHAD SHORABAL BALIKA INTER COLLEGE, ETAWAH",Basic Education,UP PRAKASHIK COMPOUND RAMNAGAR
1351,ETAWAH,"RAJKIYA BALIKA INTER COLLEGE, UDI, ETAWAH",Basic Education,UP COMPOUND NAGLA CHHATE
1352,ETAWAH,"MAHATMA GANDHI SAINIK INTER COLLEGE, PACHAYGAO , ETAWAH",Basic Education,UP PRAKASHIK COMPOUND BELAIYAPURA
1353,ETAWAH,"JANTA INTER COLEGE,  POOTHAN  SAKRAULI, ETAWAH",Basic Education,Jaswantnagar Etawah
1354,ETAWAH,"JANTA INTER COLLEGE,KUNTHESWAR , ETAWAH",Basic Education,Uttar Pradesh Compo Household Wise
1355,ETAWAH,"SHRI GYAN CHANDRA JAIN VAIDHY INTER COLLEGE, EKDIL, ETAWAH",Basic Education,badhpura etawah
1356,ETAWAH,"RAJKIYA BALIKA INTER COLLEGE, JASWANTNAGAR",Basic Education,UP PRAKASHIYAHAR
1357,ETAWAH,"RAJKIYA INTER COLLEGE, DHARWAR, ETAWAH",Basic Education,badhpura etawah
1358,ETAWAH,"B S T INTER COLLEGE, BALRAI, ETAWAH",Basic Education,UP PRAKASHIK COMPOUND KARAUNDHI
1359,ETAWAH,"SHRI GAYA PRASHAD VERMA SMARAK INTER COLLEGE, BIJPURI KHEDA , ETAWAH",Basic Education,Basrehar Etawah
1360,ETAWAH,"R D PATHAK INTER COLLEGE, JAKHAN , ETAWAH",Basic Education,UP PRIMARY VIDYA COMPOUND KHITORA
1361,ETAWAH,"GOPAL KANHAIYA LALA INTER COLLEGE, JASHOHAN , ETAWAH",Basic Education,Basrehar Etawah
1362,ETAWAH,"DR. RAM MANOHAR LOHIYA INTER COLLEGE, DHANUA , ETAWAH",Basic Education,UP PRIMARY VIDYA MADAIYA DILIP NAGAR
1363,ETAWAH,"SHRI MULAYAM SINGH YADEV INTER COLLEGE, RAINAGAR ",secondary education,Shastri Square Etawah
1364,ETAWAH,"HINDU VIDYALAY INTER COLLEGE, JASWANTNAGR, ETAWAH",Basic Education,UP PRAKASHIK Nashik
1365,ETAWAH,"RAJKIYA BALIKA INTER COLLEGE, SAIFAI, ETAWAH",secondary education,Eidgah Etawah
1366,ETAWAH,"SHRI AMITABH BACCHAN RAJKIYA INTER COLLEGE, SAIFAI, ETAWAH",Basic Education,UP PRAKASHIK COMPOUND MEHNDIPURA
1367,ETAWAH,"JILA PANCHAYAT INTER COLLEGE, HAIVARA",secondary education,Kundeshwar Etawah
1368,ETAWAH,"MAN BHAWANTI KUWARI JAN SAHYOGI INTER COLLEGE, BASREHAR , ETAWAH",Basic Education,UP COMP Viraundhi
1369,ETAWAH,"JAN SAHYOGI BALIKA INTER COLLEGE, BASREHAR, ETAWAH",secondary education,Prithvi Dura Etawah
1370,ETAWAH,"SMRT. INDIRA GANDHI INTER COLLEGE, KHARAGPUR- SARAIYA",Basic Education,UP PRIMARY VIDYA COMPOUND AKBARPUR
1371,ETAWAH,"CHAUDHARI JAWAHAR SINGH INTER COLLEGE, SUTIYANI, ETAWAH",secondary education,Sirahat Etawah
1372,ETAWAH,"AARYA SHYAMA BALIKA INTER COLLEGE, BHARTHAN , ETAWAH",Basic Education,saifai etaya
1373,ETAWAH,"S A V INTER COLLEGE, BHARTHANA , ETAWAH",secondary education,Jagohan Etawah
1374,ETAWAH,"PRAKASH INTER COLLEGE, MODHI, BHARTHANA , ETAWAH",secondary education,saifai etawah
1375,ETAWAH,JAN SAHYOGI INTER COLLEGE MODHI BHARTHANA ETAWAH,Basic Education,saifai etaya
1376,ETAWAH,"K R GIRLS INTER COLLEGE, LAKHNA , ETAWAH",Basic Education,saifai etaya
1377,ETAWAH,"JANTA INTER COLLEGE, BAKEWAR ETAWAH",secondary education,Etawah on the League
1378,ETAWAH,"BIHARI JI INTER COLLEGE, AHERIPUR , ETAWAH",Basic Education,chakkarnagar etaya
1379,ETAWAH,"LOKMANYA RURAL INTER COLLEGE, MAHEWA, ETWAH",secondary education,Killi Sultanpur Bararehar Etawah
1380,ETAWAH,"RAJKIYA BALIKA IN TER COLLEGE, CHAKARNAGR, ETAWAH",Basic Education,chakkarnagar etaya
1381,ETAWAH,"NIRANJAN INTER COLLEGE, NIRANJAN NAGAR, ETAWAH",secondary education,chaupula etawah
1382,ETAWAH,P S MADAIYA DILIPNAGAR ETAWAH,Basic Education,takha etawah
1383,ETAWAH,P S MADAIYAPUR ETAWAH,secondary education,Nagariya Yadwan Itada
1384,ETAWAH,P S GAUHANI ETAWAH,Basic Education,takha etawah
1385,ETAWAH,P S KARIYAVALI ETAWAH,secondary education,Kharagpur Sareya Etawah
1386,ETAWAH,U P S BAKAULI COMPOSIT ETAWAH,Basic Education,Bharthana Etawah
1387,ETAWAH,U P S COMPOSIT BAURAYIN ETAWAH,secondary education,Bharthana Etawah
1388,ETAWAH,U P S COMPOSIT SINGHUWA ETAWAH,Basic Education,Bharthana Etawah
1389,ETAWAH,P S KIRATPUR ETAWAH,secondary education,mahewa etawah
1390,ETAWAH,U P S MASNAYI ETAAH,Basic Education,Jaswantnagar Etawah
1391,ETAWAH,U P S COMPOSIT PASINA TOLA,secondary education,chakarnagar etawah
1393,FARUKKHABAD,GOVT INTER COLLEGE FATEHGAD,Basic Education,Gramgaria Haivatpur
1394,FARUKKHABAD,GOVT GIRLS INTER COLLEGE FATEHGAD,Basic Education,Gramhussainpur Terai
1395,FARUKKHABAD,GOVT INTER COLLEGE FARUKHABAD,Basic Education,Gram Naigawan
1396,FARUKKHABAD,JANTA RASHTREEY INTER COLLEGE FATEHGAD,Basic Education,Village Papri Khurd
1397,FARUKKHABAD,RAKHA GIRLS INTER COLLEGE FATEHGAD,Basic Education,Village Partapur Terai
1398,FARUKKHABAD,MAHAVEER INTER COLLEGE NAGALA KHAIRBAND,Basic Education,Gram Rampur Jasu
1399,FARUKKHABAD,CITYI GIRLS INTER COLLEGE FARUKHABAD,Basic Education,VillageRoshanabad
1400,FARUKKHABAD,MOHAN LAL SHUKLA INTER COLLEGE FARUKHABAD ,Basic Education,VillageKuiyan Kheda
1401,FARUKKHABAD,GITIKA RASHTOGI U M S FARUKHABAD ,Basic Education,Village Rathaura
1402,FARUKKHABAD,PT. DURGAPRASAD U M S FARUKHABAD,Basic Education,VillageHisampur
1403,FARUKKHABAD,TAIGOR U M S FARUKHABAD,Basic Education,Will Barna Old Man
1404,FARUKKHABAD,MUNISIPAL INTER COLLEGE FATEHGAD,Basic Education,Gaonkankauli
1405,FARUKKHABAD,KRISHCHIYAN INTER COLLEGE FATEHGAD ,Basic Education,Gramrajepur Tappamandal
1406,FARUKKHABAD,K R RASHTOGI INTER COLLEGE FATEHGAD,Basic Education,Village Sarfuddinpur
1407,FARUKKHABAD,BHARTEEY PATHSHALA INTER COLLEGE FARUKHABAD,Basic Education,Village Fatehpur Rao Saheb
1408,FARUKKHABAD,SWAMI RAMANAND INTER COLLEGE FARUKHABAD,Basic Education,VillageSarfabad
1409,FARUKKHABAD,SWAMI RAMANAND GIRLS INTER COLLEGE FARUKHABAD,Basic Education,Gopalpur Village
1410,FARUKKHABAD,N A K P INTER COLLEGE FARUKHABAD,Basic Education,Village Bahbalapur
1411,FARUKKHABAD,MADAN MOHAN KANAU GIRLS INTER COLLEGE FARUKHABAD,Basic Education,ajmatpur dhilawal
1412,FARUKKHABAD,GOVT U M S HISAMPUR FARUKHABAD,Basic Education,dhansua vijadharpur
1413,FARUKKHABAD,ADARSH JANTA INTER COLLEGE RANUKHERA,Basic Education,Barzhal
1414,FARUKKHABAD,D P S INTER COLLEGE MUSAKHIRIYA,Basic Education,Rasidpur Terai
1415,FARUKKHABAD,R P INTER COLLEGE KAMALGANJ ,Basic Education,Village Bhatpura Post Rajipur Kamalganj
1416,FARUKKHABAD,FIROJGANDHI JANTA INTER COLLEGE KAMALGANJ,Basic Education,Village Rajipur Post Rajipur Kamalganj
